t_s,P_feed_bar,P_draw_bar,Q_feed_L_min,Q_draw_L_min,cond_feed_mS_cm,cond_draw_mS_cm,T_feed_C,T_draw_C,P_elec_W,test_id,phase,us_on,us_phase_coherent,omega_rpm,P_us_W,P_pump_W,P_spin_motor_W,P_net_W,iso_time
10.002188323000155,0.5420794600127623,34.49497367012904,2.1818230414009254,0.159490708372482,8.0,85.0,22.0,23.0,1.7319282336159147,T1,baseline,False,False,0.0,0.0,0.35,0.0,0.2819282336159149,2026-06-10T03:59:03.871495+00:00
11.002390535999439,0.5445657884190702,34.49999976295286,2.161642988960666,0.1598095114739198,8.0,85.0,22.0,23.0,1.7384183687087065,T1,baseline,False,False,0.0,0.0,0.35,0.0,0.2884183687087064,2026-06-10T03:59:04.871692+00:00
12.002584894000393,0.5466066360233408,34.49483508830539,2.1350163746770705,0.15997517790554844,8.0,85.0,22.0,23.0,1.744712370839913,T1,baseline,False,False,0.0,0.0,0.35,0.0,0.2947123708399132,2026-06-10T03:59:05.871884+00:00
13.002793514000587,0.5481816436995909,34.47958470064505,2.103004509048781,0.1599851236159004,8.0,85.0,22.0,23.0,1.750794639009121,T1,baseline,False,False,0.0,0.0,0.35,0.0,0.30079463900912107,2026-06-10T03:59:06.872093+00:00
14.003012814999238,0.5492750446609267,34.454559116059606,2.066884068211207,0.15983918749297915,8.0,85.0,22.0,23.0,1.7566499344492676,T1,baseline,False,False,0.0,0.0,0.35,0.0,0.3066499344492676,2026-06-10T03:59:07.872312+00:00
15.003235963999032,0.5498758912340648,34.42026837651249,2.0280958525068553,0.15953964543605542,8.0,85.0,22.0,23.0,1.7622635705563798,T1,baseline,False,False,0.0,0.0,0.35,0.0,0.31226357055637977,2026-06-10T03:59:08.872552+00:00
16.003499684000417,0.5499781661459392,34.37740959186484,1.9881854255355291,0.15909115292021386,8.0,85.0,22.0,23.0,1.767621698887383,T1,baseline,False,False,0.0,0.0,0.35,0.0,0.3176216988873831,2026-06-10T03:59:09.872800+00:00
17.00369279000006,0.5495808581636187,34.326861428463744,1.948748986238658,0.15850076775354544,8.0,85.0,22.0,23.0,1.7727103376937154,T1,baseline,False,False,0.0,0.0,0.35,0.0,0.3227103376937156,2026-06-10T03:59:10.872992+00:00
18.003973433000283,0.5486878638387067,34.26964612735872,1.9113534109229917,0.1577776110020395,8.0,85.0,22.0,23.0,1.7775175585668415,T1,baseline,False,False,0.0,0.0,0.35,0.0,0.3275175585668416,2026-06-10T03:59:11.873281+00:00
19.004169513000306,0.547308260471488,34.206939616445325,1.8774965463686397,0.15693309536448302,8.0,85.0,22.0,23.0,1.7820305130808454,T1,baseline,False,False,0.0,0.0,0.35,0.0,0.3320305130808455,2026-06-10T03:59:12.873466+00:00
20.004378550000183,0.5454557563847247,34.140014486382185,1.8485250785387544,0.15598033573565095,8.0,85.0,22.0,23.0,1.7862383877511732,T1,baseline,False,False,0.0,0.0,0.35,0.0,0.3362383877511733,2026-06-10T03:59:13.873685+00:00
21.004580310000165,0.5431489020471718,34.07023609805283,1.825595096808121,0.1549342239112879,8.0,85.0,22.0,23.0,1.790130573149199,T1,baseline,False,False,0.0,0.0,0.35,0.0,0.34013057314919914,2026-06-10T03:59:14.873882+00:00
22.004812752000362,0.5404106539601639,33.999023987986135,1.809620508722079,0.15381104868256176,8.0,85.0,22.0,23.0,1.7936974729808635,T1,baseline,False,False,0.0,0.0,0.35,0.0,0.3436974729808636,2026-06-10T03:59:15.874113+00:00
23.00502150399916,0.5372685273701793,33.927833446333636,1.8012393725282563,0.15262840427119892,8.0,85.0,22.0,23.0,1.7969299708833388,T1,baseline,False,False,0.0,0.0,0.35,0.0,0.346929970883339,2026-06-10T03:59:16.874329+00:00
24.005272386999422,0.5337537152091196,33.85811091567801,1.8007856421353048,0.15140467524513657,8.0,85.0,22.0,23.0,1.7998201867143562,T1,baseline,False,False,0.0,0.0,0.35,0.0,0.34982018671435633,2026-06-10T03:59:17.874579+00:00
25.005486260999533,0.5299016262880731,33.79128300968702,1.8082775102971518,0.15015906200157939,8.0,85.0,22.0,23.0,1.8023606621033537,T1,baseline,False,False,0.0,0.0,0.35,0.0,0.3523606621033536,2026-06-10T03:59:18.874785+00:00
26.00568127400038,0.5257507233337109,33.72871034261003,1.8234156537570023,0.14891098902426833,8.0,85.0,22.0,23.0,1.8045451199871059,T1,baseline,False,False,0.0,0.0,0.35,0.0,0.354545119987106,2026-06-10T03:59:19.874982+00:00
27.005902421000428,0.5213423092189298,33.671665534120066,1.845597059124428,0.14767988454286587,8.0,85.0,22.0,23.0,1.8063681923227246,T1,baseline,False,False,0.0,0.0,0.35,0.0,0.35636819232272476,2026-06-10T03:59:20.875209+00:00
28.006107802999395,0.5167206298431875,33.62131373025037,1.8739362467206175,0.14648501912994236,8.0,85.0,22.0,23.0,1.8078252385488764,T1,baseline,False,False,0.0,0.0,0.35,0.0,0.3578252385488764,2026-06-10T03:59:21.875406+00:00
29.006310958999165,0.5119318256946644,33.5786803328433,1.9073031771695401,0.14534502878393032,8.0,85.0,22.0,23.0,1.808912644902449,T1,baseline,False,False,0.0,0.0,0.35,0.0,0.358912644902449,2026-06-10T03:59:22.875609+00:00
